channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,V0001T8B1,hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,546,"[14, 15, 16, 17, 18, 19, 20]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,29,477
bit2,V0002T8B1,hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,638,"[7, 8, 9, 10, 11, 12, 13]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,29,477
bit3,V0003T8B1,hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),3,-1,749,"[0, 1, 2, 3, 4, 5, 6]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,29,477
bit4,V0004T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,477
bit5,V0005T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,477
bit6,V0006T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,0,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,477
bit7,V0007T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,1,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,477
bit8,V0008T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,1,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,477
bit9,V0009T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,1,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,477
bit10,V0010T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,2,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,477
bit11,V0011T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,2,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,477
bit12,V0012T8B1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,2,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,477
bit13,Gabbr2_1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,3,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,477
bit14,Gabbr2_2,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,3,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,477
bit15,Tspan7_1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,3,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,477
bit16,Tspan7_2,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,4,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,477
bit17,C1qc,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,4,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,477
bit18,Tms4bx,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,4,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,477
bit19,Rps29,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),19,5,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,477
bit20,Ftl1,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),20,5,638,"[8, 9, 10, 11, 12, 13, 14]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,477
bit21,mt-Nd2,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),21,5,749,"[1, 2, 3, 4, 5, 6, 7]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,477
bit22,mt-Co3,hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),22,6,546,"[15, 16, 17, 18, 19, 20, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-477z1-749z7-638z7-546z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,0,477
polyT,,hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),,-1,477,"[21, 22, 23, 24, 25, 26, 27]","[10.5, 9.0, 7.5, 6.0, 4.5, 3.0, 1.5]",hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,29,477
DAPI,,hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),,-1,405,"[30, 31, 32, 33, 34, 35, 36]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0, 10.5]",hal-config-749z7-638z7-546z7-477z9-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,29,477
